Consulta,Candidato,Intención_Voto,Participacion_Consulta,Coalicion,Fuente_Encuesta,Fecha,Tipo_Consultante
Gran_Consulta_Por_Colombia,Paloma Valencia,19.1,18.7,Centro Democrático,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Juan Carlos Pinzón,13.1,18.7,Oxígeno Verde,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Aníbal Gaviria,11.1,18.7,Conservador,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Juan Daniel Oviedo,10.6,18.7,Liberal,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Vicky Dávila,7.0,18.7,Independiente,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,David Luna,5.1,18.7,Partido de la U,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Mauricio Cárdenas,4.2,18.7,Independiente,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Juan Manuel Galán,4.8,18.7,Nuevo Liberalismo,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Voto en Blanco,13.3,18.7,NSA,Atlas Intel,05-08/01/2026,Derecha
Gran_Consulta_Por_Colombia,Indeciso/NS-NR,11.1,18.7,NSA,Atlas Intel,05-08/01/2026,Derecha
Pacto_Amplio,Iván Cepeda,92.3,29.8,Pacto Histórico,Atlas Intel,05-08/01/2026,Izquierda
Pacto_Amplio,Camilo Romero,3.3,29.8,Pacto Histórico,Atlas Intel,05-08/01/2026,Izquierda
Pacto_Amplio,Roy Barreras,1.4,29.8,Pacto Histórico,Atlas Intel,05-08/01/2026,Izquierda
Pacto_Amplio,Daniel Quintero,0.9,29.8,Pacto Histórico,Atlas Intel,05-08/01/2026,Izquierda
Pacto_Amplio,Voto en Blanco,0.0,29.8,NSA,Atlas Intel,05-08/01/2026,Izquierda
Pacto_Amplio,Indeciso/NS-NR,1.9,29.8,NSA,Atlas Intel,05-08/01/2026,Izquierda
