Fecha,Encuestadora,Candidato,Porcentaje,Muestra,Margen_Error
2025-07-02,Guarumo/EcoAnalítica,Miguel Uribe,13.7,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Vicky Dávila,11.5,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Gustavo Bolívar,10.5,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Sergio Fajardo,8.7,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Daniel Quintero,8.1,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Claudia López,5.3,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,María José Pizarro,3.2,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Juan Manuel Galán,3.0,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Germán Vargas,2.9,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Jota Pe Hernández,2.5,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Carolina Corcho,2.4,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Juan Daniel Oviedo,2.2,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Iván Cepeda,2.1,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,María Fernanda Cabal,1.9,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Susana Muhamad,1.7,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,David Luna,1.2,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Abelardo de la Espriella,1.1,2122,2.2%
2025-07-02,Guarumo/EcoAnalítica,Mauricio Cárdenas,1.0,2122,2.2%
2025-06-08,Guarumo/EcoAnalítica,Gustavo Bolívar,12.6,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Vicky Dávila,11.6,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Sergio Fajardo,11.4,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Claudia López,10.1,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Alejandro Gaviria,9.5,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Francia Márquez,8.3,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Germán Vargas,7.7,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Daniel Quintero,7.2,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,María José Pizarro,6.9,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,David Luna,6.8,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Carlos Caicedo,6.5,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Luis Gilberto Murillo,6.2,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Paloma Valencia,5.9,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Miguel Uribe,5.6,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,María Fernanda Cabal,5.5,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Enrique Peñalosa,5.0,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Juan Manuel Galán,4.7,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Santiago Botero,4.5,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Camilo Romero,4.2,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Iván Cepeda,4.1,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Susana Muhamad,3.8,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Luis Fernando Velasco,3.5,2159,4.0%
2025-06-08,Guarumo/EcoAnalítica,Ninguno,2.5,2159,4.0%
